# Amateur (Ham) Radio Spot Count File
#
# sDate: 2014-04-01 00:00:00
# eDate: 2014-05-01 00:00:00
# rgc_lim: None
# filter_regions: ['US', 'Europe']
# filter_region_kind: mids
# bands: [7, 14]
# bin_size: 0:01:00
# Sources: ['WSPR', 'RBN']
#
datetime_ut,7MHz-US,14MHz-US,7MHz-Europe,14MHz-Europe
2014-04-01 01:36:00,15,31,27,18
2014-04-01 01:37:00,35,19,15,12
2014-04-01 01:38:00,44,99,15,6
2014-04-01 01:39:00,29,99,72,35
2014-04-01 01:40:00,25,24,41,2
2014-04-01 01:41:00,26,0,27,10
2014-04-01 01:42:00,26,82,24,25
2014-04-01 01:43:00,3,15,3,19
2014-04-01 01:44:00,30,111,35,23
2014-04-01 01:45:00,14,15,43,28
2014-04-01 01:46:00,40,43,66,21
2014-04-01 01:47:00,2,4,19,11
2014-04-01 01:48:00,23,83,17,11
2014-04-01 01:49:00,20,2,66,2
2014-04-01 01:50:00,24,79,21,28
2014-04-01 01:51:00,1,5,4,9
2014-04-01 01:52:00,24,55,56,11
2014-04-01 01:53:00,8,1,39,9
2014-04-01 01:54:00,22,49,56,7
2014-04-01 01:55:00,0,19,10,16
2014-04-01 01:56:00,22,60,71,28
2014-04-01 01:57:00,8,16,11,2
2014-04-01 01:58:00,38,62,17,26
2014-04-01 01:59:00,8,4,30,3
2014-04-01 02:00:00,33,50,46,14
2014-04-01 02:01:00,26,7,49,15
2014-04-01 02:02:00,29,100,39,20
2014-04-01 02:03:00,8,7,31,1
2014-04-01 02:04:00,52,77,41,4
2014-04-01 02:05:00,11,2,44,2
2014-04-01 02:06:00,23,71,31,11
2014-04-01 02:07:00,25,25,6,1
2014-04-01 02:08:00,25,57,41,23
2014-04-01 02:09:00,5,3,4,0
2014-04-01 02:10:00,22,88,14,17
2014-04-01 02:11:00,26,8,1,10
2014-04-01 02:12:00,36,71,70,6
2014-04-01 02:13:00,22,4,32,26
2014-04-01 02:14:00,17,53,36,21
2014-04-01 02:15:00,7,20,1,11
2014-04-01 02:16:00,6,111,58,22
2014-04-01 02:17:00,64,14,6,2
2014-04-01 02:18:00,40,89,30,8
2014-04-01 02:19:00,2,13,4,14
2014-04-01 02:20:00,35,44,43,21
2014-04-01 02:21:00,6,8,16,5
2014-04-01 02:22:00,13,43,57,6
2014-04-01 02:23:00,11,12,69,1
2014-04-01 02:24:00,41,148,34,39
2014-04-01 02:25:00,8,30,35,14
2014-04-01 02:26:00,43,75,32,23
2014-04-01 02:27:00,17,14,28,4
2014-04-01 02:28:00,31,64,54,17
2014-04-01 02:29:00,31,0,51,21
2014-04-01 02:30:00,55,82,66,15
2014-04-01 02:31:00,3,6,48,1
2014-04-01 02:32:00,42,17,49,24
2014-04-01 02:33:00,21,28,27,13
2014-04-01 02:34:00,52,83,43,26
2014-04-01 02:35:00,5,13,7,1
2014-04-01 02:36:00,14,82,56,17
2014-04-01 02:37:00,5,3,11,1
2014-04-01 02:38:00,21,59,34,16
2014-04-01 02:39:00,1,4,15,1
2014-04-01 02:40:00,58,66,70,10
2014-04-01 02:41:00,1,25,12,7
2014-04-01 02:42:00,13,39,36,32
2014-04-01 02:43:00,34,2,8,4
2014-04-01 02:44:00,35,86,51,10
2014-04-01 02:45:00,36,1,27,3
2014-04-01 02:46:00,44,47,55,22
2014-04-01 02:47:00,20,0,48,2
2014-04-01 02:48:00,49,72,32,23
2014-04-01 02:49:00,8,3,43,32
2014-04-01 02:50:00,38,67,76,21
2014-04-01 02:51:00,45,4,31,20
2014-04-01 02:52:00,12,73,77,8
2014-04-01 02:53:00,6,12,34,7
2014-04-01 02:54:00,6,87,66,40
2014-04-01 02:55:00,23,13,19,2
2014-04-01 02:56:00,37,56,23,10
2014-04-01 02:57:00,4,16,36,10
2014-04-01 02:58:00,36,96,30,32
2014-04-01 02:59:00,27,7,14,26
2014-04-01 03:00:00,45,81,31,8
2014-04-01 03:01:00,25,4,77,26
2014-04-01 03:02:00,35,8,53,19
2014-04-01 03:03:00,17,8,34,7
2014-04-01 03:04:00,10,95,18,12
2014-04-01 03:05:00,10,11,2,4
2014-04-01 03:06:00,24,58,24,28
2014-04-01 03:07:00,19,3,6,3
2014-04-01 03:08:00,62,113,24,21
2014-04-01 03:09:00,27,2,32,10
2014-04-01 03:10:00,9,41,24,8
2014-04-01 03:11:00,5,16,53,13
2014-04-01 03:12:00,33,34,48,51
2014-04-01 03:13:00,16,18,21,6
2014-04-01 03:14:00,38,73,16,8
2014-04-01 03:15:00,11,7,42,9
2014-04-01 03:16:00,3,58,43,24
2014-04-01 03:17:00,4,2,41,10
2014-04-01 03:18:00,40,50,31,20
2014-04-01 03:19:00,29,2,1,16
2014-04-01 03:20:00,37,55,16,20
2014-04-01 03:21:00,10,1,4,2
2014-04-01 03:22:00,17,42,17,27
2014-04-01 03:23:00,15,0,49,2
2014-04-01 03:24:00,23,74,64,47
2014-04-01 03:25:00,33,0,53,24
2014-04-01 03:26:00,18,48,61,33
2014-04-01 03:27:00,2,0,14,15
2014-04-01 03:28:00,27,71,45,64
2014-04-01 03:29:00,31,0,14,21
2014-04-01 03:30:00,28,37,16,33
2014-04-01 03:31:00,4,1,7,30
2014-04-01 03:32:00,7,40,37,32
2014-04-01 03:33:00,1,3,5,19
2014-04-01 03:34:00,15,57,56,35
2014-04-01 03:35:00,11,5,41,19
2014-04-01 03:36:00,58,45,47,26
2014-04-01 03:37:00,15,0,34,8
2014-04-01 03:38:00,50,53,16,51
2014-04-01 03:39:00,13,4,23,28
2014-04-01 03:40:00,54,48,68,34
2014-04-01 03:41:00,3,8,15,57
2014-04-01 03:42:00,31,35,46,25
2014-04-01 03:43:00,17,13,25,7
2014-04-01 03:44:00,34,62,51,5
2014-04-01 03:45:00,6,17,11,31
2014-04-01 03:46:00,25,60,23,36
2014-04-01 03:47:00,23,0,37,8
2014-04-01 03:48:00,22,56,29,14
2014-04-01 03:49:00,11,3,43,15
2014-04-01 03:50:00,45,63,30,26
2014-04-01 03:51:00,8,0,2,18
2014-04-01 03:52:00,25,31,40,28
2014-04-01 03:53:00,2,4,11,53
2014-04-01 03:54:00,19,39,62,34
2014-04-01 03:55:00,5,3,38,28
2014-04-01 03:56:00,22,49,38,16
2014-04-01 03:57:00,7,6,10,21
2014-04-01 03:58:00,13,34,38,16
2014-04-01 03:59:00,0,7,25,15
2014-04-01 04:00:00,25,49,31,26
2014-04-01 04:01:00,9,3,1,57
2014-04-01 04:02:00,29,32,16,16
2014-04-01 04:03:00,3,6,19,6
2014-04-01 04:04:00,27,59,30,13
2014-04-01 04:05:00,23,2,85,9
2014-04-01 04:06:00,48,24,32,53
2014-04-01 04:07:00,3,0,8,18
2014-04-01 04:08:00,25,71,35,45
2014-04-01 04:09:00,2,1,3,12
2014-04-01 04:10:00,11,48,13,32
2014-04-01 04:11:00,0,7,8,11
2014-04-01 04:12:00,11,49,26,35
2014-04-01 04:13:00,20,6,11,13
2014-04-01 04:14:00,31,53,10,15
2014-04-01 04:15:00,2,22,20,16
2014-04-01 04:16:00,43,53,21,24
2014-04-01 04:17:00,21,2,4,19
2014-04-01 04:18:00,47,28,79,7
2014-04-01 04:19:00,16,22,4,6
2014-04-01 04:20:00,40,26,53,18
2014-04-01 04:21:00,3,8,5,4
2014-04-01 04:22:00,17,54,16,28
2014-04-01 04:23:00,23,2,4,22
2014-04-01 04:24:00,23,44,45,24
2014-04-01 04:25:00,15,21,22,25
2014-04-01 04:26:00,51,50,68,34
2014-04-01 04:27:00,3,2,9,14
2014-04-01 04:28:00,21,52,52,29
2014-04-01 04:29:00,32,4,6,31
2014-04-01 04:30:00,40,45,35,34
2014-04-01 04:31:00,7,5,17,8
2014-04-01 04:32:00,28,34,64,12
2014-04-01 04:33:00,6,15,11,15
2014-04-01 04:34:00,18,53,24,42
2014-04-01 04:35:00,5,15,1,26
2014-04-01 04:36:00,16,22,22,47
2014-04-01 04:37:00,1,3,26,6
2014-04-01 04:38:00,23,61,41,32
2014-04-01 04:39:00,10,20,14,29
2014-04-01 04:40:00,40,35,25,14
2014-04-01 04:41:00,20,1,6,11
2014-04-01 04:42:00,33,36,10,17
2014-04-01 04:43:00,1,13,62,6
2014-04-01 04:44:00,14,44,38,40
2014-04-01 04:45:00,0,10,12,25
2014-04-01 04:46:00,34,57,15,23
2014-04-01 04:47:00,2,3,30,35
2014-04-01 04:48:00,40,34,32,51
2014-04-01 04:49:00,5,5,39,22
2014-04-01 04:50:00,27,50,39,59
2014-04-01 04:51:00,11,2,7,16
2014-04-01 04:52:00,26,35,29,14
2014-04-01 04:53:00,4,2,65,18
2014-04-01 04:54:00,13,30,36,6
2014-04-01 04:55:00,4,13,5,8
2014-04-01 04:56:00,16,52,29,64
2014-04-01 04:57:00,10,3,7,49
2014-04-01 04:58:00,37,44,20,49
2014-04-01 04:59:00,0,14,1,16
2014-04-01 05:00:00,36,57,51,27
2014-04-01 05:01:00,27,6,32,5
2014-04-01 05:02:00,29,35,36,20
2014-04-01 05:03:00,1,7,33,15
2014-04-01 05:04:00,34,48,28,42
2014-04-01 05:05:00,22,5,32,20
2014-04-01 05:06:00,19,44,55,57
2014-04-01 05:07:00,1,5,15,51
2014-04-01 05:08:00,21,22,52,60
2014-04-01 05:09:00,26,8,5,17
2014-04-01 05:10:00,17,61,6,33
2014-04-01 05:11:00,1,7,23,26
2014-04-01 05:12:00,10,23,38,53
2014-04-01 05:13:00,11,6,3,28
2014-04-01 05:14:00,22,66,36,53
2014-04-01 05:15:00,1,6,12,15
2014-04-01 05:16:00,19,21,55,37
2014-04-01 05:17:00,6,3,5,6
2014-04-01 05:18:00,44,34,20,20
2014-04-01 05:19:00,4,0,1,25
2014-04-01 05:20:00,26,59,25,25
2014-04-01 05:21:00,23,8,8,14
2014-04-01 05:22:00,14,24,20,33
2014-04-01 05:23:00,21,4,8,22
2014-04-01 05:24:00,32,35,17,48
2014-04-01 05:25:00,10,1,63,26
2014-04-01 05:26:00,30,25,21,34
2014-04-01 05:27:00,23,4,1,35
2014-04-01 05:28:00,46,11,28,51
2014-04-01 05:29:00,11,1,0,8
2014-04-01 05:30:00,12,33,59,74
2014-04-01 05:31:00,8,2,12,20
2014-04-01 05:32:00,26,31,28,60
2014-04-01 05:33:00,12,1,33,36
2014-04-01 05:34:00,36,45,46,73
2014-04-01 05:35:00,10,12,10,33
2014-04-01 05:36:00,14,23,28,53
2014-04-01 05:37:00,1,9,54,21
2014-04-01 05:38:00,52,26,26,59
2014-04-01 05:39:00,28,3,11,26
2014-04-01 05:40:00,32,30,33,52
2014-04-01 05:41:00,2,6,9,23
2014-04-01 05:42:00,25,30,26,33
2014-04-01 05:43:00,15,7,0,63
2014-04-01 05:44:00,25,32,30,74
2014-04-01 05:45:00,31,0,1,96
2014-04-01 05:46:00,30,14,35,67
2014-04-01 05:47:00,1,5,17,26
2014-04-01 05:48:00,11,49,40,38
2014-04-01 05:49:00,1,0,4,10
2014-04-01 05:50:00,11,27,17,90
2014-04-01 05:51:00,35,3,1,59
2014-04-01 05:52:00,32,23,20,57
2014-04-01 05:53:00,22,0,4,28
2014-04-01 05:54:00,40,39,22,85
2014-04-01 05:55:00,4,10,0,45
2014-04-01 05:56:00,6,14,20,70
2014-04-01 05:57:00,0,4,22,28
2014-04-01 05:58:00,40,23,51,72
2014-04-01 05:59:00,19,0,21,0
2014-04-01 06:00:00,28,39,35,53
2014-04-01 06:01:00,2,0,35,45
2014-04-01 06:02:00,30,25,29,55
2014-04-01 06:03:00,1,2,17,14
2014-04-01 06:04:00,17,31,49,61
2014-04-01 06:05:00,1,8,39,10
2014-04-01 06:06:00,25,8,9,93
2014-04-01 06:07:00,18,1,24,32
2014-04-01 06:08:00,46,64,31,48
2014-04-01 06:09:00,11,16,11,45
2014-04-01 06:10:00,31,26,33,67
2014-04-01 06:11:00,9,2,4,49
2014-04-01 06:12:00,32,8,35,84
2014-04-01 06:13:00,5,0,34,55
2014-04-01 06:14:00,18,26,47,50
2014-04-01 06:15:00,2,7,6,11
2014-04-01 06:16:00,19,27,19,68
2014-04-01 06:17:00,2,1,2,39
2014-04-01 06:18:00,42,41,39,38
2014-04-01 06:19:00,1,5,30,36
2014-04-01 06:20:00,27,25,69,84
2014-04-01 06:21:00,2,4,65,24
2014-04-01 06:22:00,1,4,20,40
2014-04-01 06:23:00,12,1,5,24
2014-04-01 06:24:00,30,36,15,68
2014-04-01 06:25:00,5,1,11,4
2014-04-01 06:26:00,25,17,54,125
2014-04-01 06:27:00,2,3,28,17
2014-04-01 06:28:00,30,19,29,55
2014-04-01 06:29:00,1,3,4,11
2014-04-01 06:30:00,17,22,11,95
2014-04-01 06:31:00,0,0,38,94
2014-04-01 06:32:00,29,28,65,74
2014-04-01 06:33:00,20,2,8,48
2014-04-01 06:34:00,25,28,67,71
2014-04-01 06:35:00,1,4,28,26
2014-04-01 06:36:00,15,32,57,148
2014-04-01 06:37:00,0,3,7,31
2014-04-01 06:38:00,32,25,50,76
2014-04-01 06:39:00,2,5,16,11
2014-04-01 06:40:00,32,68,31,98
2014-04-01 06:41:00,1,2,9,12
2014-04-01 06:42:00,10,6,39,61
2014-04-01 06:43:00,1,4,9,13
2014-04-01 06:44:00,23,44,29,54
2014-04-01 06:45:00,3,1,0,9
2014-04-01 06:46:00,31,30,17,69
2014-04-01 06:47:00,4,1,6,26
2014-04-01 06:48:00,28,22,37,61
2014-04-01 06:49:00,19,4,16,49
2014-04-01 06:50:00,16,22,80,128
2014-04-01 06:51:00,9,3,12,32
2014-04-01 06:52:00,19,35,24,63
2014-04-01 06:53:00,2,1,9,36
2014-04-01 06:54:00,37,43,23,95
2014-04-01 06:55:00,11,0,13,9
2014-04-01 06:56:00,20,27,45,89
2014-04-01 06:57:00,3,0,68,25
2014-04-01 06:58:00,14,10,50,77
2014-04-01 06:59:00,0,0,30,15
2014-04-01 07:00:00,31,32,57,102
2014-04-01 07:01:00,2,0,5,36
2014-04-01 07:02:00,13,35,34,25
2014-04-01 07:03:00,0,3,16,11
2014-04-01 07:04:00,34,23,42,65
2014-04-01 07:05:00,0,8,4,16
2014-04-01 07:06:00,11,15,41,79
2014-04-01 07:07:00,3,0,26,14
2014-04-01 07:08:00,21,23,44,75
2014-04-01 07:09:00,3,0,52,11
2014-04-01 07:10:00,22,54,18,99
2014-04-01 07:11:00,0,5,10,18
2014-04-01 07:12:00,25,14,41,49
2014-04-01 07:13:00,11,3,26,6
2014-04-01 07:14:00,24,39,22,33
2014-04-01 07:15:00,4,4,24,2
2014-04-01 07:16:00,9,33,41,107
2014-04-01 07:17:00,11,1,32,32
2014-04-01 07:18:00,37,26,24,88
2014-04-01 07:19:00,2,0,28,55
2014-04-01 07:20:00,29,29,27,66
2014-04-01 07:21:00,3,3,21,13
2014-04-01 07:22:00,17,18,49,94
2014-04-01 07:23:00,1,0,14,16
2014-04-01 07:24:00,34,25,11,73
2014-04-01 07:25:00,1,0,13,20
2014-04-01 07:26:00,18,16,23,105
2014-04-01 07:27:00,0,5,0,20
2014-04-01 07:28:00,20,27,21,84
2014-04-01 07:29:00,12,5,13,17
2014-04-01 07:30:00,9,35,31,95
2014-04-01 07:31:00,1,0,6,18
2014-04-01 07:32:00,23,28,44,79
2014-04-01 07:33:00,0,1,3,7
2014-04-01 07:34:00,1,12,20,94
2014-04-01 07:35:00,3,2,23,46
2014-04-01 07:36:00,13,21,45,101
2014-04-01 07:37:00,0,0,6,25
2014-04-01 07:38:00,30,23,10,115
2014-04-01 07:39:00,0,2,19,9
2014-04-01 07:40:00,37,30,24,84
2014-04-01 07:41:00,1,1,18,23
2014-04-01 07:42:00,22,14,53,65
2014-04-01 07:43:00,0,0,25,6
2014-04-01 07:44:00,34,36,50,59
2014-04-01 07:45:00,8,4,33,3
2014-04-01 07:46:00,26,9,28,99
2014-04-01 07:47:00,0,0,10,43
2014-04-01 07:48:00,22,23,39,157
2014-04-01 07:49:00,1,11,14,24
2014-04-01 07:50:00,29,46,23,78
2014-04-01 07:51:00,5,3,20,18
2014-04-01 07:52:00,13,38,36,92
2014-04-01 07:53:00,0,0,22,26
2014-04-01 07:54:00,35,30,29,110
2014-04-01 07:55:00,1,3,27,8
2014-04-01 07:56:00,19,8,42,135
2014-04-01 07:57:00,1,2,5,23
2014-04-01 07:58:00,19,16,12,105
2014-04-01 07:59:00,0,0,30,28
2014-04-01 08:00:00,38,22,25,92
2014-04-01 08:01:00,0,2,17,30
2014-04-01 08:02:00,14,20,22,125
2014-04-01 08:03:00,3,1,1,7
2014-04-01 08:04:00,20,36,24,132
2014-04-01 08:05:00,5,2,10,30
2014-04-01 08:06:00,32,19,31,120
2014-04-01 08:07:00,0,1,3,10
2014-04-01 08:08:00,33,16,28,98
2014-04-01 08:09:00,11,1,0,6
2014-04-01 08:10:00,9,9,9,131
2014-04-01 08:11:00,4,3,28,43
2014-04-01 08:12:00,20,27,19,137
2014-04-01 08:13:00,0,2,17,22
2014-04-01 08:14:00,39,38,32,85
2014-04-01 08:15:00,12,2,2,28
2014-04-01 08:16:00,18,9,17,97
2014-04-01 08:17:00,1,2,8,6
2014-04-01 08:18:00,22,7,28,90
2014-04-01 08:19:00,2,1,3,26
2014-04-01 08:20:00,57,10,29,95
2014-04-01 08:21:00,0,3,2,8
2014-04-01 08:22:00,31,27,28,101
2014-04-01 08:23:00,1,0,13,7
2014-04-01 08:24:00,26,30,15,65
2014-04-01 08:25:00,0,0,21,17
2014-04-01 08:26:00,25,12,32,108
2014-04-01 08:27:00,0,4,6,22
2014-04-01 08:28:00,36,11,24,109
2014-04-01 08:29:00,3,2,13,10
2014-04-01 08:30:00,11,31,31,135
2014-04-01 08:31:00,0,0,0,7
2014-04-01 08:32:00,18,27,13,146
2014-04-01 08:33:00,0,2,19,18
2014-04-01 08:34:00,10,36,18,119
2014-04-01 08:35:00,0,0,1,25
2014-04-01 08:36:00,35,10,24,108
2014-04-01 08:37:00,4,1,0,38
2014-04-01 08:38:00,43,12,13,112
2014-04-01 08:39:00,1,6,19,14
2014-04-01 08:40:00,45,9,16,119
2014-04-01 08:41:00,1,0,13,17
2014-04-01 08:42:00,9,24,29,88
2014-04-01 08:43:00,9,2,1,49
2014-04-01 08:44:00,30,32,22,84
2014-04-01 08:45:00,0,1,3,9
2014-04-01 08:46:00,26,32,16,116
2014-04-01 08:47:00,0,2,1,19
2014-04-01 08:48:00,36,20,14,114
2014-04-01 08:49:00,2,3,0,40
2014-04-01 08:50:00,13,31,10,118
2014-04-01 08:51:00,0,3,0,27
2014-04-01 08:52:00,22,9,20,105
2014-04-01 08:53:00,2,2,24,8
2014-04-01 08:54:00,23,24,37,125
2014-04-01 08:55:00,1,1,8,10
2014-04-01 08:56:00,57,20,12,144
2014-04-01 08:57:00,20,1,14,30
2014-04-01 08:58:00,43,17,16,144
2014-04-01 08:59:00,1,3,0,18
2014-04-01 09:00:00,33,21,15,100
2014-04-01 09:01:00,0,1,8,13
2014-04-01 09:02:00,0,5,35,71
2014-04-01 09:03:00,2,3,32,9
2014-04-01 09:04:00,42,29,29,100
2014-04-01 09:05:00,4,3,3,22
2014-04-01 09:06:00,32,19,14,134
2014-04-01 09:07:00,19,0,2,26
2014-04-01 09:08:00,37,3,43,149
2014-04-01 09:09:00,0,1,4,11
2014-04-01 09:10:00,1,33,13,147
2014-04-01 09:11:00,1,0,49,31
2014-04-01 09:12:00,12,34,39,96
2014-04-01 09:13:00,0,4,3,36
2014-04-01 09:14:00,38,12,26,82
2014-04-01 09:15:00,5,5,10,6
2014-04-01 09:16:00,62,21,30,155
2014-04-01 09:17:00,1,2,7,1
2014-04-01 09:18:00,57,15,25,105
2014-04-01 09:19:00,20,0,5,5
2014-04-01 09:20:00,29,20,8,166
2014-04-01 09:21:00,3,0,19,56
2014-04-01 09:22:00,14,14,35,150
2014-04-01 09:23:00,1,1,3,40
2014-04-01 09:24:00,25,26,29,141
2014-04-01 09:25:00,1,0,14,13
2014-04-01 09:26:00,32,28,26,119
2014-04-01 09:27:00,1,1,3,23
2014-04-01 09:28:00,41,9,15,163
2014-04-01 09:29:00,12,1,14,6
2014-04-01 09:30:00,18,27,11,148
2014-04-01 09:31:00,0,1,8,11
2014-04-01 09:32:00,30,7,12,95
2014-04-01 09:33:00,2,1,16,10
2014-04-01 09:34:00,25,34,13,98
2014-04-01 09:35:00,4,3,2,33
2014-04-01 09:36:00,22,22,18,179
2014-04-01 09:37:00,0,2,7,24
2014-04-01 09:38:00,30,24,10,74
2014-04-01 09:39:00,5,1,8,10
2014-04-01 09:40:00,48,15,20,134
2014-04-01 09:41:00,9,1,4,13
2014-04-01 09:42:00,6,21,16,129
2014-04-01 09:43:00,6,0,0,29
2014-04-01 09:44:00,24,14,28,78
2014-04-01 09:45:00,2,4,13,19
2014-04-01 09:46:00,25,14,22,144
2014-04-01 09:47:00,5,1,7,9
2014-04-01 09:48:00,34,18,28,166
2014-04-01 09:49:00,1,2,10,38
2014-04-01 09:50:00,6,27,24,130
2014-04-01 09:51:00,3,2,5,66
2014-04-01 09:52:00,27,12,13,124
2014-04-01 09:53:00,8,0,3,8
2014-04-01 09:54:00,13,29,19,144
2014-04-01 09:55:00,18,2,11,3
2014-04-01 09:56:00,13,27,41,87
2014-04-01 09:57:00,1,3,11,4
2014-04-01 09:58:00,28,17,23,97
2014-04-01 09:59:00,12,0,11,38
2014-04-01 10:00:00,42,22,25,128
2014-04-01 10:01:00,6,1,8,57
2014-04-01 10:02:00,20,18,21,163
2014-04-01 10:03:00,0,3,4,53
2014-04-01 10:04:00,26,23,18,129
2014-04-01 10:05:00,1,3,13,11
2014-04-01 10:06:00,25,8,19,136
2014-04-01 10:07:00,0,3,5,50
2014-04-01 10:08:00,35,16,18,89
2014-04-01 10:09:00,0,5,3,11
2014-04-01 10:10:00,20,22,9,117
2014-04-01 10:11:00,1,3,0,16
2014-04-01 10:12:00,21,20,13,167
2014-04-01 10:13:00,6,1,1,45
2014-04-01 10:14:00,13,8,7,127
2014-04-01 10:15:00,0,1,2,70
2014-04-01 10:16:00,41,32,12,184
2014-04-01 10:17:00,11,1,14,16
2014-04-01 10:18:00,31,26,18,106
2014-04-01 10:19:00,2,2,1,24
2014-04-01 10:20:00,26,20,18,128
2014-04-01 10:21:00,0,3,1,3
2014-04-01 10:22:00,10,13,15,145
2014-04-01 10:23:00,0,4,0,11
2014-04-01 10:24:00,27,23,29,138
2014-04-01 10:25:00,3,2,2,36
2014-04-01 10:26:00,41,16,20,97
2014-04-01 10:27:00,6,3,4,16
2014-04-01 10:28:00,39,31,18,119
2014-04-01 10:29:00,20,2,5,20
2014-04-01 10:30:00,14,26,16,152
2014-04-01 10:31:00,9,0,25,3
2014-04-01 10:32:00,26,4,21,137
2014-04-01 10:33:00,5,1,2,66
2014-04-01 10:34:00,13,21,17,181
2014-04-01 10:35:00,2,0,20,5
2014-04-01 10:36:00,16,24,21,134
2014-04-01 10:37:00,5,1,9,43
2014-04-01 10:38:00,30,24,33,114
2014-04-01 10:39:00,38,0,0,9
2014-04-01 10:40:00,30,5,24,258
2014-04-01 10:41:00,7,0,6,4
2014-04-01 10:42:00,55,8,22,85
2014-04-01 10:43:00,16,0,7,6
2014-04-01 10:44:00,18,15,46,157
2014-04-01 10:45:00,47,1,16,42
2014-04-01 10:46:00,17,28,9,173
2014-04-01 10:47:00,16,0,1,14
2014-04-01 10:48:00,32,12,23,147
