# Amateur (Ham) Radio Spot Count File
#
# sDate: 2014-04-01 00:00:00
# eDate: 2014-05-01 00:00:00
# rgc_lim: None
# filter_regions: ['US', 'Europe']
# filter_region_kind: mids
# bands: [7, 14]
# bin_size: 0:01:00
# Sources: ['WSPR', 'RBN']
#
datetime_ut,7MHz-US,14MHz-US,7MHz-Europe,14MHz-Europe
2014-04-01 00:00:00,25,59,24,49
2014-04-01 00:01:00,15,0,0,13
2014-04-01 00:02:00,2,33,78,16
2014-04-01 00:03:00,3,3,19,21
2014-04-01 00:04:00,22,62,33,22
2014-04-01 00:05:00,8,4,18,3
2014-04-01 00:06:00,7,59,51,30
2014-04-01 00:07:00,16,11,2,4
2014-04-01 00:08:00,18,69,66,29
2014-04-01 00:09:00,7,18,16,4
2014-04-01 00:10:00,10,44,32,19
2014-04-01 00:11:00,4,4,3,5
2014-04-01 00:12:00,18,59,91,50
2014-04-01 00:13:00,3,0,3,6
2014-04-01 00:14:00,9,100,26,5
2014-04-01 00:15:00,20,2,24,39
2014-04-01 00:16:00,31,92,34,21
2014-04-01 00:17:00,24,1,5,6
2014-04-01 00:18:00,6,58,50,13
2014-04-01 00:19:00,13,2,45,4
2014-04-01 00:20:00,28,58,51,19
2014-04-01 00:21:00,1,6,3,2
2014-04-01 00:22:00,30,34,41,42
2014-04-01 00:23:00,35,2,39,9
2014-04-01 00:24:00,55,147,37,24
2014-04-01 00:25:00,35,3,18,15
2014-04-01 00:26:00,15,37,41,39
2014-04-01 00:27:00,5,11,9,8
2014-04-01 00:28:00,27,69,27,20
2014-04-01 00:29:00,20,5,32,2
2014-04-01 00:30:00,18,44,39,20
2014-04-01 00:31:00,8,30,11,5
2014-04-01 00:32:00,14,52,34,27
2014-04-01 00:33:00,24,1,27,7
2014-04-01 00:34:00,15,94,68,17
2014-04-01 00:35:00,2,17,16,0
2014-04-01 00:36:00,22,87,40,18
2014-04-01 00:37:00,2,19,15,2
2014-04-01 00:38:00,14,40,28,15
2014-04-01 00:39:00,10,4,0,9
2014-04-01 00:40:00,35,55,18,19
2014-04-01 00:41:00,3,8,94,11
2014-04-01 00:42:00,17,92,55,22
2014-04-01 00:43:00,0,17,48,10
2014-04-01 00:44:00,12,113,47,10
2014-04-01 00:45:00,12,7,4,5
2014-04-01 00:46:00,34,37,25,27
2014-04-01 00:47:00,2,6,5,17
2014-04-01 00:48:00,21,59,16,24
2014-04-01 00:49:00,18,1,3,0
2014-04-01 00:50:00,11,52,18,17
2014-04-01 00:51:00,3,2,31,9
2014-04-01 00:52:00,45,74,52,13
2014-04-01 00:53:00,10,1,33,2
2014-04-01 00:54:00,26,103,26,23
2014-04-01 00:55:00,23,17,20,15
2014-04-01 00:56:00,33,19,28,45
2014-04-01 00:57:00,4,2,19,13
2014-04-01 00:58:00,23,56,28,12
2014-04-01 00:59:00,13,2,4,2
2014-04-01 01:00:00,20,49,27,25
2014-04-01 01:01:00,2,2,21,3
2014-04-01 01:02:00,18,62,55,25
2014-04-01 01:03:00,26,25,11,2
2014-04-01 01:04:00,17,102,18,17
2014-04-01 01:05:00,17,3,20,18
2014-04-01 01:06:00,0,118,67,21
2014-04-01 01:07:00,0,2,2,12
2014-04-01 01:08:00,17,75,22,44
2014-04-01 01:09:00,1,2,1,22
2014-04-01 01:10:00,29,42,12,49
2014-04-01 01:11:00,31,2,18,14
2014-04-01 01:12:00,32,12,42,22
2014-04-01 01:13:00,46,5,27,4
2014-04-01 01:14:00,45,86,41,12
2014-04-01 01:15:00,40,8,9,10
2014-04-01 01:16:00,14,55,29,53
2014-04-01 01:17:00,35,15,4,4
2014-04-01 01:18:00,32,93,51,11
2014-04-01 01:19:00,29,25,5,7
2014-04-01 01:20:00,37,89,20,14
2014-04-01 01:21:00,14,20,22,33
2014-04-01 01:22:00,44,38,21,32
2014-04-01 01:23:00,36,12,1,33
2014-04-01 01:24:00,29,46,22,33
2014-04-01 01:25:00,22,9,3,3
2014-04-01 01:26:00,6,91,36,14
2014-04-01 01:27:00,14,23,20,3
2014-04-01 01:28:00,30,47,61,13
2014-04-01 01:29:00,28,21,35,11
2014-04-01 01:30:00,29,111,10,15
2014-04-01 01:31:00,20,21,3,26
2014-04-01 01:32:00,34,21,64,42
2014-04-01 01:33:00,3,18,29,19
2014-04-01 01:34:00,29,69,50,26
2014-04-01 01:35:00,41,2,16,33
